customer_id,first_name,last_name,gender,birth_date,signup_date,city,country,income_level
1,Frances,Jones,F,1989-10-21,2024-02-08,Phoenix,USA,low
2,John,Ford,F,1987-12-09,2023-08-08,Los Angeles,USA,medium
3,Hailey,Robinson,F,1968-08-04,2024-10-10,Phoenix,USA,high
4,Brian,Underwood,F,1971-06-22,2024-04-21,Los Angeles,USA,medium
5,Carl,Gentry,M,1996-12-14,2023-03-16,Houston,USA,medium
6,Jason,Porter,F,1984-05-06,2024-02-26,Los Angeles,USA,medium
7,Douglas,Taylor,M,2001-03-04,2023-12-05,New York,USA,high
8,Julie,Patterson,M,1993-10-08,2023-08-14,Los Angeles,USA,high
9,Wendy,Taylor,F,1985-03-19,2023-02-01,New York,USA,low
10,Michelle,Hernandez,M,1980-06-10,2024-04-07,Houston,USA,medium
11,Candace,Cruz,M,1962-10-06,2024-01-16,Houston,USA,medium
12,John,Tran,M,1985-11-13,2023-05-28,New York,USA,medium
13,Danny,Dyer,M,2004-03-26,2024-01-15,Phoenix,USA,medium
14,Matthew,Carter,F,1994-01-30,2024-04-21,Houston,USA,low
15,Jennifer,Cortez,F,1962-09-01,2022-01-04,Houston,USA,medium
16,William,Rodriguez,F,2005-10-17,2024-04-14,Los Angeles,USA,medium
17,William,Gonzalez,F,1987-06-05,2024-07-10,Chicago,USA,medium
18,Stephanie,Nielsen,M,1974-02-07,2022-06-26,Los Angeles,USA,low
19,Tracy,Rodriguez,F,2002-12-19,2023-10-18,Los Angeles,USA,low
20,Lindsay,Allen,F,1973-07-10,2024-12-14,Los Angeles,USA,low
21,Christian,Dennis,F,1967-01-19,2023-09-14,Los Angeles,USA,low
22,Amanda,Martinez,M,1997-07-14,2024-12-06,Phoenix,USA,medium
23,Frederick,Rose,M,1989-04-02,2024-11-02,Houston,USA,medium
24,Sarah,Campos,F,1986-06-08,2024-11-21,Houston,USA,low
25,Raymond,Powers,F,1990-11-06,2024-02-20,Houston,USA,high
26,Shannon,Wright,F,1974-01-28,2024-09-12,Houston,USA,low
27,Angela,Chapman,F,1957-09-05,2022-01-24,New York,USA,medium
28,Brian,Jones,M,1954-09-01,2024-02-15,Houston,USA,high
29,Willie,Ramirez,M,1955-12-14,2022-12-28,Phoenix,USA,medium
30,Jennifer,Khan,F,1980-01-05,2023-08-14,Houston,USA,low
31,Thomas,Russell,F,1984-10-28,2022-09-24,New York,USA,low
32,Michael,Jenkins,F,1959-04-14,2023-12-23,Houston,USA,medium
33,Denise,Lucas,M,2000-01-26,2022-03-01,Houston,USA,low
34,Lauren,Rodriguez,M,1957-07-01,2024-03-08,New York,USA,medium
35,Donald,White,M,1964-06-09,2023-08-11,Los Angeles,USA,medium
36,Charles,Morton,M,1978-10-21,2024-08-15,Los Angeles,USA,low
37,Denise,Fernandez,M,1999-08-26,2022-04-18,Los Angeles,USA,low
38,Karen,Young,F,1955-01-25,2022-04-13,Houston,USA,medium
39,Michelle,Barrera,M,1975-10-29,2023-06-12,Phoenix,USA,medium
40,Peter,House,M,1963-01-05,2022-01-03,Chicago,USA,low
41,Heather,Cross,F,1995-11-24,2022-11-09,Phoenix,USA,medium
42,Tommy,Lee,M,1995-10-21,2023-12-26,Los Angeles,USA,low
43,Jill,Brown,M,1965-10-28,2022-03-06,Chicago,USA,high
44,Thomas,Calhoun,F,1970-11-27,2022-02-24,Chicago,USA,medium
45,William,York,M,1982-06-08,2022-03-04,Phoenix,USA,medium
46,Michelle,Powell,F,1957-12-01,2022-03-16,Houston,USA,low
47,Beth,Williams,F,2004-03-10,2023-09-16,Los Angeles,USA,medium
48,Annette,Stewart,F,1958-08-19,2023-12-21,Houston,USA,medium
49,Leon,Baker,M,1968-02-08,2024-01-04,Los Angeles,USA,high
50,Stephen,Hickman,F,1961-03-22,2023-12-08,Houston,USA,low
51,Christine,Hart,F,2003-11-17,2022-01-11,Chicago,USA,low
52,William,Anderson,F,1959-08-02,2023-08-12,Houston,USA,low
53,John,Mitchell,F,1972-10-13,2022-03-17,Chicago,USA,high
54,Kevin,Riggs,M,1977-07-05,2023-08-18,Phoenix,USA,high
55,Elizabeth,Spencer,M,1997-01-22,2023-08-03,Houston,USA,medium
56,Natalie,Baker,M,2003-09-01,2022-04-24,Houston,USA,medium
57,Eric,Campbell,M,2001-06-10,2024-03-23,Chicago,USA,low
58,Grace,Farrell,F,1965-06-13,2023-01-11,Phoenix,USA,medium
59,Rebekah,Williams,F,1981-01-26,2022-10-02,Phoenix,USA,medium
60,Bradley,Cook,M,1987-11-26,2024-06-27,Chicago,USA,low
61,Evan,Ramos,M,1961-03-21,2024-12-08,Chicago,USA,low
62,Daniel,Landry,F,1991-09-08,2023-09-07,Los Angeles,USA,medium
63,Barry,Wood,F,1990-11-28,2022-06-13,New York,USA,high
64,Bobby,Diaz,M,1983-07-27,2023-04-16,Chicago,USA,low
65,Bill,Howard,M,2003-09-27,2024-11-30,Chicago,USA,low
66,Michael,Castro,F,1990-06-08,2024-01-01,Los Angeles,USA,medium
67,Kara,Frost,F,2000-08-23,2024-12-02,New York,USA,medium
68,Lauren,Thompson,M,1966-10-31,2022-06-27,Houston,USA,medium
69,Sandra,Patton,M,1976-02-20,2022-07-16,Houston,USA,low
70,Jill,Wright,M,1976-02-08,2024-01-04,Houston,USA,low
71,Patrick,Williams,F,1962-09-21,2024-02-07,Los Angeles,USA,high
72,Samantha,Bailey,F,1979-03-26,2022-08-07,Los Angeles,USA,low
73,Jeffrey,Keller,F,1997-10-09,2024-08-12,Phoenix,USA,medium
74,Chad,Ayala,F,1975-05-28,2022-11-02,Phoenix,USA,high
75,Erin,Anthony,M,1972-11-23,2023-07-12,Phoenix,USA,high
76,Natalie,Green,M,1971-11-02,2022-01-31,Los Angeles,USA,low
77,Benjamin,Carlson,M,1985-01-21,2024-12-12,Los Angeles,USA,low
78,Samuel,Joyce,F,1972-08-09,2024-05-11,New York,USA,medium
79,James,Williams,F,1960-05-31,2024-09-11,New York,USA,low
80,Lindsay,Mcdaniel,F,1977-05-25,2023-07-24,New York,USA,medium
81,James,Reynolds,M,2004-02-13,2024-03-18,Houston,USA,low
82,Cindy,Alvarado,M,2004-07-29,2024-10-05,Chicago,USA,high
83,William,Estrada,F,1960-11-21,2024-09-12,Los Angeles,USA,medium
84,Angela,Lee,F,1971-07-29,2024-02-03,New York,USA,medium
85,Kaitlin,Thompson,F,1989-07-11,2023-02-20,Chicago,USA,medium
86,Martha,Torres,F,1984-06-12,2023-03-21,New York,USA,medium
87,Catherine,Morris,M,1965-06-04,2024-05-10,Phoenix,USA,low
88,William,Leon,M,1977-09-13,2024-01-10,Phoenix,USA,medium
89,Donna,Campbell,M,2005-02-26,2024-03-16,Phoenix,USA,low
90,Clarence,Crane,F,1989-06-20,2023-11-10,Phoenix,USA,medium
91,Lindsay,Hernandez,F,1966-09-25,2022-12-06,Phoenix,USA,medium
92,Cheryl,Mack,F,1956-09-25,2024-12-13,Houston,USA,medium
93,Barbara,Higgins,F,1978-06-03,2024-08-28,New York,USA,high
94,Dylan,Watts,F,1974-08-21,2023-03-14,Houston,USA,low
95,Nicole,Osborne,F,2001-08-06,2024-07-31,Houston,USA,low
96,Heather,Marshall,F,1965-11-19,2024-05-30,New York,USA,high
97,David,Anderson,M,1983-10-30,2024-10-01,Phoenix,USA,medium
98,Angelica,Stewart,F,1978-11-29,2023-08-05,Phoenix,USA,medium
99,Lisa,Mcclain,M,1994-04-25,2023-04-30,New York,USA,low
100,Sean,Moore,F,1976-11-25,2024-09-20,Houston,USA,high
101,Karen,Larsen,M,1999-12-11,2023-05-08,New York,USA,high
102,Todd,Allen,F,1968-12-25,2024-05-01,Chicago,USA,medium
103,Jimmy,Rogers,M,1977-08-07,2024-02-21,Los Angeles,USA,high
104,Edward,Reyes,M,2001-08-13,2022-03-30,New York,USA,medium
105,Robert,Rivera,F,1962-05-21,2022-08-23,Chicago,USA,medium
106,Marissa,Price,M,1978-12-24,2022-03-10,Houston,USA,high
107,Andrew,Gilmore,M,1995-01-31,2024-11-01,Phoenix,USA,low
108,Sherri,Evans,F,1984-10-18,2023-06-07,New York,USA,low
109,Mary,Medina,M,1974-12-15,2024-09-03,Phoenix,USA,low
110,Rachael,Freeman,F,1993-03-22,2024-05-25,Chicago,USA,high
111,Paul,Caldwell,F,1968-10-01,2023-06-16,Houston,USA,medium
112,Mary,Calhoun,F,1996-08-02,2024-03-03,Phoenix,USA,medium
113,Rebecca,Vargas,M,2006-04-06,2023-08-08,Chicago,USA,high
114,Roy,Camacho,F,1989-06-04,2022-04-02,Los Angeles,USA,high
115,Mark,Gibson,F,1963-12-01,2022-10-12,Chicago,USA,medium
116,Joshua,Bean,M,1972-03-04,2024-08-21,Los Angeles,USA,medium
117,Thomas,Curry,F,1976-08-17,2024-07-03,Phoenix,USA,high
118,Jeffrey,Jones,F,1957-01-17,2024-11-08,Houston,USA,low
119,Anthony,Wright,M,2005-01-08,2022-02-14,Los Angeles,USA,medium
120,John,Wells,F,1998-10-06,2023-11-12,Houston,USA,medium
121,Steven,Scott,M,1960-05-07,2024-11-03,Phoenix,USA,medium
122,Tamara,Higgins,F,1973-11-02,2023-10-26,Phoenix,USA,medium
123,Larry,Lane,M,1995-07-05,2022-06-29,Phoenix,USA,low
124,Rebecca,Brooks,M,2003-07-08,2023-09-23,Chicago,USA,high
125,Brittany,Rivas,M,2004-03-07,2022-08-06,New York,USA,medium
126,Kevin,Sutton,M,1967-02-27,2024-02-03,Los Angeles,USA,medium
127,Ashlee,Williams,F,1996-12-23,2024-05-21,Chicago,USA,medium
128,Casey,Holland,M,1982-07-09,2023-12-26,Chicago,USA,medium
129,Tracy,Hamilton,M,1954-12-15,2023-04-05,Phoenix,USA,medium
130,Steve,Hernandez,F,1973-06-25,2024-09-03,Los Angeles,USA,low
131,Debra,Gilbert,M,1963-08-15,2023-07-26,Houston,USA,high
132,Steven,Petersen,F,2003-01-09,2024-04-28,Houston,USA,medium
133,John,Michael,F,1985-09-08,2022-12-19,New York,USA,high
134,Karen,Hudson,F,1969-01-25,2023-05-09,Phoenix,USA,low
135,Troy,Nguyen,F,1989-09-12,2023-01-04,Phoenix,USA,low
136,Jonathan,Ramirez,M,1980-02-15,2023-01-24,Houston,USA,high
137,Angela,Black,F,1985-11-18,2024-08-21,Houston,USA,low
138,Richard,Peters,F,1964-05-30,2022-09-22,Phoenix,USA,low
139,Jennifer,West,M,1967-01-09,2023-06-06,Houston,USA,low
